A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,age,gender,accuracy,country,source,elapsed,user_id
5,4,3,3,5,4,4,4,2,3,4,3,4,4,4,5,2,3,4,3,4,1,4,28,1,90,US,6,850,52
4,3,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,3,2,2,2,1,1,26,1,100,HR,1,1124,53
4,4,4,3,4,4,4,4,3,3,4,2,4,4,4,4,4,5,2,4,4,4,2,25,2,50,IN,1,769,54
1,1,1,3,1,1,4,5,5,3,3,5,5,5,5,5,5,5,5,1,5,1,1,25,2,100,US,1,485,55
4,4,3,4,4,4,4,3,2,3,4,3,4,4,5,4,3,4,3,2,3,2,2,44,2,90,ZA,6,635,56
1,4,1,4,3,2,4,2,3,1,5,5,5,5,5,4,2,5,1,3,1,1,1,14,2,75,AU,1,563,57
2,2,4,4,2,2,2,4,2,3,1,1,5,4,3,1,4,2,2,5,5,3,2,27,1,95,US,5,506,58
1,2,2,2,2,2,2,4,4,4,2,4,4,4,4,2,4,4,2,3,4,2,2,48,1,85,GB,2,567,59
4,4,4,2,4,5,4,2,4,4,5,5,5,5,5,5,5,5,2,2,2,1,1,26,1,95,US,1,423,60
2,3,4,4,5,5,4,4,2,3,3,1,4,4,3,3,4,4,4,3,3,2,2,49,1,99,CN,1,646,61
4,4,5,4,5,4,4,4,2,4,4,5,5,4,5,4,2,4,4,2,4,1,2,22,2,100,CA,6,26,62
4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,26,1,100,PK,6,803,63
5,5,3,5,5,5,5,3,1,3,5,3,5,5,5,5,3,5,3,1,3,1,1,45,2,88,ZA,1,566,64
4,4,3,4,4,3,4,2,2,3,4,5,5,5,4,3,4,4,3,4,3,1,1,22,1,65,FI,1,540,65
5,5,5,5,5,5,4,1,1,1,5,4,5,5,5,4,5,1,1,2,2,1,2,19,1,98,GB,1,992,66
5,4,2,4,4,3,4,4,2,2,3,3,3,4,4,4,3,3,4,4,3,3,4,19,2,87,US,2,1353,67
2,3,4,3,3,3,5,3,2,1,4,3,5,5,4,5,4,4,2,2,2,1,1,24,1,70,US,1,1094,68
3,2,2,2,2,3,2,4,4,3,2,4,4,5,4,3,3,4,2,2,4,2,2,18,1,57,US,1,677,69
5,4,5,5,5,5,5,3,1,1,5,3,5,5,4,4,4,5,2,2,2,3,4,29,2,100,US,2,845,70
2,3,3,4,2,2,3,4,1,2,3,3,5,5,5,4,5,4,1,2,2,1,1,32,2,72,US,6,538,71
4,4,3,4,4,4,4,3,2,3,4,3,4,5,4,4,3,5,2,2,2,2,2,45,2,88,ZA,6,456,72
1,2,1,1,1,4,2,5,4,1,2,4,5,5,3,2,4,4,2,4,4,1,2,17,2,95,PH,1,420,73
5,2,5,5,4,4,5,1,1,1,4,4,5,4,4,3,4,3,1,4,1,1,1,26,2,70,GR,1,1030,74
2,3,3,3,3,3,4,2,2,2,3,2,4,4,4,3,5,5,5,4,4,1,2,21,2,80,GB,1,714,75
4,4,4,4,4,4,2,4,3,4,4,2,2,4,4,5,4,3,2,2,2,2,2,18,1,50,GR,1,767,76
1,2,2,4,2,2,3,4,3,3,3,3,4,5,3,4,4,4,5,2,4,2,2,18,2,80,PH,1,993,77
3,4,4,4,4,4,4,2,2,3,2,3,2,2,4,2,2,4,4,4,2,2,5,41,2,99,US,6,782,78
