q_Q1,q_Q2,q_Q3,q_Q4,q_Q5,q_Q6,q_Q7,q_Q8,q_Q9,q_Q10,q_Q11,q_Q12,q_Q13,q_Q14,q_Q15,q_Q16,q_Q17,q_Q18,q_Q19,q_Q20,m_score,m_gender,m_age,seconds_elapsed
5,5,3,2,5,2,2,4,4,2,1,2,4,2,5,2,5,4,5,1,79,1,22,284
2,3,4,4,3,1,2,3,3,2,2,2,2,1,4,2,3,4,5,2,66,1,20,125
4,3,2,1,4,5,2,4,2,2,1,4,4,2,4,1,1,2,4,4,74,1,21,153
1,5,3,5,5,5,5,2,4,4,2,0,4,2,2,5,2,4,5,5,54,2,28,138
3,5,2,2,4,3,2,3,3,4,2,3,3,2,3,3,2,3,4,3,67,1,20,107
4,4,1,2,4,1,1,2,2,4,0,4,1,4,4,5,2,3,5,1,68,1,30,94
5,3,4,2,3,3,2,1,5,4,1,4,4,1,3,3,1,4,5,4,66,3,21,145
2,1,4,4,2,4,4,2,5,5,2,2,2,3,2,2,4,2,4,2,46,2,50,560
4,3,2,2,4,2,1,1,4,2,2,3,2,3,4,2,3,4,4,2,68,2,23,265
4,3,3,4,4,4,2,2,5,4,3,3,3,2,2,4,3,4,4,1,56,2,22,126
1,1,3,3,2,4,4,1,4,5,4,4,1,2,1,3,2,1,5,1,42,1,33,243
1,2,3,3,3,2,2,2,4,3,2,3,2,3,4,3,2,3,3,2,56,1,29,200
5,5,4,2,5,1,1,2,2,2,1,5,2,1,3,1,1,4,5,1,77,1,18,168
4,3,3,4,3,2,2,4,4,3,2,4,2,2,2,3,2,2,5,2,62,1,34,184
5,4,3,4,4,2,2,4,2,4,1,4,3,4,2,2,4,5,5,5,75,1,18,263
1,2,4,4,2,3,3,2,5,5,4,2,1,4,2,5,2,1,2,1,35,1,55,639
2,2,2,2,2,2,2,2,5,4,2,4,5,4,2,4,2,3,4,4,59,1,23,387
2,4,4,4,4,4,2,4,2,4,1,2,2,1,4,4,2,2,3,1,58,1,24,187
4,4,1,1,5,1,1,5,1,3,1,3,5,2,4,1,1,5,5,1,84,1,24,182
2,2,4,4,3,4,2,2,4,4,3,2,2,3,2,3,2,4,5,2,51,1,22,144
5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,96,1,22,215
3,2,3,5,3,2,3,4,4,4,3,2,2,2,3,4,3,3,3,3,55,1,24,170
3,3,3,4,2,3,3,2,3,2,2,3,2,3,4,3,3,3,3,1,57,1,21,235
2,2,3,3,2,1,3,3,4,2,3,4,2,2,2,2,2,2,4,3,59,1,34,228
2,4,4,3,3,4,2,2,3,4,2,3,1,3,3,2,2,2,5,1,55,2,34,423
2,4,4,4,3,2,1,2,4,4,2,2,2,3,4,4,2,4,5,3,59,1,25,144
4,4,4,1,5,1,4,4,4,5,1,4,1,1,4,1,2,5,3,1,69,2,24,130
3,5,3,1,5,1,3,3,5,3,2,5,4,2,1,2,1,3,5,1,68,2,34,352
5,4,2,1,5,2,4,2,5,4,3,5,5,1,1,5,1,4,5,4,68,1,27,224
3,2,4,2,3,4,2,3,4,4,2,3,1,3,3,3,5,1,5,4,59,1,31,291
3,4,3,2,4,2,2,3,2,4,1,5,4,3,3,2,2,0,4,3,68,1,42,130
4,4,3,4,2,2,2,2,5,4,2,2,2,3,3,2,3,4,4,2,59,1,23,178
1,2,5,4,1,5,5,3,5,1,3,2,2,3,3,4,3,2,4,1,43,1,32,199
5,5,2,3,5,1,1,5,3,2,2,5,5,5,5,3,1,2,4,1,75,1,27,172
4,5,4,1,2,1,1,3,3,4,1,5,2,2,4,1,2,2,4,3,72,1,20,179
1,3,4,4,3,4,2,2,5,5,4,2,3,0,1,4,2,3,4,2,48,1,46,157
4,5,2,1,4,1,1,5,2,1,1,5,5,1,4,1,2,5,5,5,92,2,53,309
2,3,3,4,4,5,4,2,4,4,1,5,3,2,4,4,3,4,1,1,55,2,25,158
4,3,4,3,3,1,1,2,3,2,1,5,4,2,2,4,2,4,4,1,67,1,33,189
2,4,4,5,2,3,3,3,2,2,1,5,5,4,4,2,1,4,4,4,66,1,55,228
5,5,1,3,5,1,1,1,5,5,5,3,5,1,1,5,1,5,5,1,64,1,26,251
5,5,1,3,5,1,1,1,5,5,5,3,5,1,1,5,1,5,5,1,64,1,26,404
3,3,2,2,2,2,2,4,3,4,1,2,2,2,2,2,2,2,4,4,64,1,27,1054
1,4,2,5,3,5,2,1,5,2,1,3,4,1,4,4,1,4,4,3,59,1,22,346
5,4,5,1,2,4,1,2,4,3,1,5,1,1,2,3,1,1,3,3,60,1,35,304
2,2,4,4,4,4,3,2,5,4,3,4,4,3,2,4,5,2,5,1,53,1,21,397
2,2,4,3,2,3,3,2,5,4,2,3,3,3,4,2,3,2,5,4,57,2,32,174
4,4,1,3,2,2,1,5,5,2,2,1,4,2,1,5,1,3,5,1,62,1,23,190
1,3,5,2,2,4,3,2,5,5,3,3,2,2,1,2,3,2,4,1,47,1,25,131
3,4,4,2,4,5,4,1,5,4,2,3,2,3,3,3,2,3,5,2,54,1,26,164
5,2,4,1,5,3,2,5,5,2,2,5,1,2,3,1,4,5,1,5,73,1,20,125
3,3,3,4,4,2,3,4,4,2,1,4,2,3,2,4,2,2,5,1,60,2,23,135
4,4,2,2,3,2,2,4,3,2,1,4,4,1,4,3,3,4,3,2,75,1,32,193
2,3,4,3,2,4,2,3,5,5,1,4,1,3,3,4,3,2,5,1,52,1,27,2550
4,5,2,2,5,1,3,5,2,2,2,2,4,1,4,1,3,4,3,4,81,1,59,188
2,2,3,3,4,2,2,4,4,3,1,4,3,2,4,1,4,4,1,3,68,1,40,184
2,2,4,4,2,4,3,2,4,4,2,4,2,2,3,2,2,4,3,1,52,1,35,160
4,4,4,4,3,4,2,4,4,3,2,3,2,3,2,2,2,3,3,3,59,1,28,167
4,4,3,2,3,2,2,4,3,2,2,3,3,2,4,2,3,5,4,2,73,1,20,86
2,2,4,2,2,2,0,3,3,4,2,3,2,3,4,2,3,4,3,2,62,1,30,225
2,2,5,4,4,2,2,4,4,2,1,4,4,3,3,2,2,4,4,3,65,1,49,271
3,4,2,5,2,2,2,1,4,4,4,3,4,2,3,2,1,4,5,1,58,2,27,99
2,2,3,3,2,3,2,1,5,4,2,3,1,3,2,4,2,3,5,2,50,1,30,174
4,4,4,2,4,2,2,4,5,1,2,4,3,2,3,4,2,4,4,2,68,2,30,377
3,4,3,4,4,3,3,4,4,3,2,4,2,3,2,2,2,4,5,2,63,2,26,168
2,3,2,3,4,5,4,2,5,5,1,5,3,2,3,4,3,4,3,1,56,2,25,151
5,5,1,1,4,1,1,5,1,1,1,5,2,1,5,1,1,5,5,1,88,1,34,266
4,4,2,1,5,4,1,5,4,5,2,5,5,3,5,4,2,5,5,5,78,2,23,296
2,4,4,3,2,4,2,1,4,5,4,1,2,4,3,4,2,3,2,1,43,1,24,142
2,2,4,1,5,2,2,4,4,4,1,5,2,1,2,1,1,4,5,2,68,1,35,131
3,3,3,3,4,3,2,2,4,2,4,2,2,4,4,2,4,4,4,1,60,2,34,133
4,4,5,2,3,1,1,2,5,0,1,5,4,1,0,5,1,4,0,3,63,1,24,85
2,4,4,4,4,4,4,4,5,4,4,4,2,2,4,4,2,4,2,2,53,1,39,101
4,4,2,0,3,2,2,4,3,2,2,4,4,2,4,4,2,4,5,1,74,1,27,279
4,4,4,4,2,4,3,2,4,4,2,4,4,2,3,3,2,4,5,3,61,1,33,239
4,2,4,4,2,3,2,2,4,3,2,2,2,2,2,4,2,4,4,2,54,2,32,129
4,3,2,2,5,1,2,5,3,4,1,5,3,1,2,1,2,5,3,1,75,2,19,327
2,2,2,4,2,2,2,3,1,2,3,3,2,3,2,3,2,4,4,2,60,1,19,169
5,4,1,1,5,1,1,4,1,1,1,1,4,1,4,1,1,5,4,1,83,1,23,100
2,3,4,4,4,2,2,2,5,3,2,2,2,2,4,3,2,2,5,1,56,2,17,181
2,3,4,4,4,2,2,2,5,3,2,2,2,2,4,3,2,2,5,1,56,2,17,231
2,2,2,4,2,4,4,2,4,4,2,4,4,3,2,4,4,4,4,4,57,1,29,175
2,2,4,4,2,2,2,2,4,4,4,2,2,3,2,3,2,4,4,2,50,1,36,425
2,4,3,1,5,2,1,4,4,4,1,4,3,2,5,4,1,4,4,3,71,2,21,155
2,1,4,4,4,2,2,1,1,2,1,2,1,2,3,2,2,4,4,4,62,1,27,146
2,4,4,3,4,3,3,4,4,3,2,3,2,3,2,4,2,3,4,1,56,2,23,126
3,2,5,4,4,5,4,4,5,4,3,3,2,2,4,5,2,3,5,4,53,2,22,174
3,5,4,1,4,1,2,5,3,2,1,5,4,1,3,1,1,4,5,3,80,1,22,107
5,5,3,2,5,4,2,4,3,5,2,5,4,1,4,2,1,4,4,3,74,1,19,192
3,4,2,2,5,3,2,5,2,2,2,4,4,2,3,1,1,2,5,4,76,1,25,200
5,2,4,1,5,5,5,4,5,5,1,5,2,1,4,4,2,5,5,4,66,2,23,228
3,5,4,3,2,3,4,5,5,4,3,4,4,3,4,4,2,3,4,1,58,1,21,273
3,5,2,1,5,2,2,4,4,3,1,5,2,1,4,4,2,4,5,2,75,1,19,178
1,1,2,2,3,3,4,4,5,5,4,4,3,3,2,2,1,1,2,2,48,1,25,72
1,1,2,2,3,3,4,4,5,5,4,4,3,3,2,2,1,1,2,2,48,1,21,101
1,4,3,3,5,4,4,4,1,2,1,5,1,1,5,1,1,4,4,4,72,2,25,163
2,4,5,2,1,5,5,2,5,5,2,1,1,4,4,5,3,2,5,5,46,1,21,296
5,4,4,3,4,4,2,5,3,2,2,5,5,4,5,3,1,4,5,2,72,1,20,433
2,3,4,4,2,4,3,1,5,4,2,2,2,2,1,4,4,2,5,1,47,1,32,880
2,2,5,4,2,4,4,1,5,5,3,2,1,3,2,4,2,5,2,1,39,2,48,208
3,2,3,3,5,1,1,2,4,3,3,3,1,3,3,3,3,4,3,3,62,1,23,503
2,4,4,3,3,3,3,2,4,4,2,3,2,3,3,4,3,3,4,3,56,1,19,581
5,4,4,2,5,5,0,2,5,4,2,5,1,2,4,4,2,2,5,1,62,2,24,154
5,5,4,2,4,3,2,4,2,2,1,4,5,4,4,3,4,4,4,2,76,1,20,253
5,2,2,3,5,4,4,1,5,3,3,2,3,4,2,3,4,2,1,2,52,2,50,4218
2,4,4,4,5,5,2,2,4,4,2,4,3,2,0,4,4,3,2,3,55,1,22,300
5,4,1,3,5,2,3,4,3,2,2,4,4,3,2,2,5,4,3,1,74,1,59,692
5,4,1,3,5,2,3,4,3,2,2,4,4,3,2,2,5,4,3,1,74,2,50,794
2,2,4,2,4,5,4,4,5,4,4,4,4,2,2,2,3,2,4,2,55,1,24,214
2,1,5,2,2,3,4,2,5,4,2,2,3,3,4,3,3,2,4,2,50,1,20,437
4,4,5,2,3,4,2,4,1,4,3,4,4,2,5,3,2,4,4,2,68,1,21,189
3,2,2,3,4,4,2,4,4,4,1,3,5,2,1,2,2,4,5,4,67,1,28,1129
4,5,4,3,4,4,3,4,4,4,3,5,3,3,2,2,2,5,5,4,67,1,22,282
4,4,2,4,5,1,1,3,1,4,1,1,3,1,5,2,2,4,5,5,78,1,23,362
4,3,3,2,2,3,2,3,3,2,1,5,2,3,2,3,3,4,4,3,67,1,32,323
3,4,3,1,5,3,3,5,4,3,2,5,5,2,3,1,1,4,5,4,76,1,30,231
4,4,4,2,4,2,2,4,2,4,3,2,4,2,3,2,3,4,1,4,68,1,28,195
4,2,0,2,3,4,2,4,4,4,1,4,1,3,3,4,2,2,1,1,57,1,25,235
4,1,2,1,4,5,3,4,4,4,4,5,2,4,4,4,4,4,4,4,63,1,25,222
4,4,5,3,4,2,2,4,2,4,3,4,2,3,4,4,1,4,1,1,59,1,20,249
4,3,3,2,5,4,2,4,5,4,2,4,5,3,4,2,2,4,5,4,71,1,24,170
5,5,5,3,5,1,1,4,2,1,3,4,4,2,5,3,1,5,4,1,76,1,22,292
5,3,5,1,5,4,5,1,4,5,2,3,4,2,2,4,3,2,1,3,54,1,19,290
4,2,4,4,5,4,2,5,4,1,4,4,4,4,2,5,3,1,4,1,57,1,24,491
3,4,2,2,4,2,1,4,3,4,3,3,1,2,4,3,4,3,3,3,68,1,23,371
2,4,2,1,5,5,4,2,4,4,2,3,2,2,4,3,4,5,2,2,62,1,20,401
2,4,3,4,1,4,2,2,5,5,2,4,4,2,4,3,5,4,4,4,62,1,21,155
4,4,4,3,3,4,4,4,4,4,4,4,5,3,3,4,3,4,3,3,60,1,25,181
4,2,2,4,4,1,1,4,4,2,1,5,5,2,0,1,2,4,0,2,68,1,26,98
1,4,2,3,4,2,3,3,5,4,3,0,4,2,5,2,2,5,4,2,62,1,23,242
4,5,4,3,4,4,4,4,3,4,2,3,3,2,0,3,3,3,2,2,58,1,20,236
4,5,5,3,4,2,2,3,5,4,4,5,4,4,3,5,3,4,5,4,64,1,24,476
3,4,4,2,3,4,2,2,4,5,5,4,2,2,3,4,3,4,3,5,58,1,28,352
3,5,4,2,4,4,3,4,4,4,4,4,5,3,4,4,3,4,5,5,68,1,25,243
5,3,2,2,3,5,5,1,5,4,4,2,4,5,4,4,2,2,4,4,52,1,21,356
5,5,3,4,5,2,1,3,5,1,1,5,4,2,3,2,1,4,5,5,78,1,29,211
0,4,4,4,4,4,2,0,4,3,3,3,1,3,3,4,3,4,3,1,49,1,24,344
2,2,3,2,4,4,3,3,4,4,2,5,2,3,3,4,4,4,3,2,59,1,30,304
4,5,3,2,4,3,3,2,4,3,1,3,4,2,3,3,3,3,4,3,68,1,26,3027
5,5,4,3,5,2,2,4,4,4,1,4,4,2,3,3,2,4,5,3,73,1,26,233
4,3,2,1,5,5,5,3,5,4,1,5,2,2,2,3,2,4,1,4,61,1,34,148
5,5,3,4,5,1,1,1,1,5,5,5,5,3,3,5,5,4,5,5,74,1,19,314
2,2,4,4,2,2,2,2,4,4,4,5,2,2,4,1,4,4,5,4,63,1,55,289
2,2,5,4,4,4,2,2,4,2,1,4,4,2,2,2,1,4,4,4,61,1,31,221
5,3,4,1,5,2,2,4,4,4,2,5,5,1,2,2,2,4,3,2,72,1,24,149
4,2,2,1,5,2,2,2,4,2,1,5,4,2,2,4,1,4,3,4,70,1,24,405
2,5,5,3,5,3,3,5,5,5,1,3,5,2,5,5,3,3,5,1,64,1,21,213
3,3,4,3,3,3,4,4,3,3,3,3,2,4,3,3,3,3,3,3,57,1,23,168
1,1,3,4,5,3,2,3,3,3,2,1,3,3,3,2,3,4,5,3,61,1,19,554
4,5,1,2,4,2,2,5,1,2,1,4,4,1,4,1,2,5,5,3,86,2,23,283
2,4,1,4,3,1,1,2,2,3,2,4,4,1,4,1,2,4,5,3,75,1,24,369
3,1,5,5,5,3,5,1,5,3,5,1,1,1,3,5,5,5,1,1,44,1,30,241
4,2,5,4,4,4,5,4,4,5,1,5,5,5,5,4,5,3,1,3,58,1,21,175
1,4,2,3,4,4,5,4,4,5,4,4,2,3,4,5,3,5,4,3,57,1,22,280
4,5,5,2,3,5,5,5,5,5,2,5,5,1,0,2,2,4,5,4,64,1,23,231
5,5,4,4,5,1,2,4,4,2,2,3,5,2,4,2,3,5,4,4,78,1,20,233
3,4,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,4,5,1,61,1,21,148
1,4,4,3,5,4,4,2,5,5,3,4,4,3,5,5,1,4,5,4,57,1,20,218
2,4,4,4,4,3,2,2,4,4,4,5,2,2,2,1,2,4,5,2,60,1,20,141
3,2,3,3,2,4,2,3,3,3,2,5,3,3,4,3,2,3,5,3,63,1,28,165
3,5,4,4,4,4,5,4,4,4,4,3,5,2,4,4,2,2,5,3,59,2,20,225
4,2,4,4,3,3,2,3,4,3,1,4,2,2,3,4,3,4,4,3,62,1,20,185
5,4,5,2,4,2,2,3,4,5,4,4,2,2,3,3,5,4,2,2,63,1,19,270
5,4,1,1,5,2,1,3,2,2,1,5,5,3,4,2,1,4,5,3,83,1,23,253
3,2,1,2,4,2,0,4,2,5,1,5,5,3,4,1,5,3,1,2,75,1,16,265
3,5,4,3,4,3,2,2,4,4,4,2,3,1,2,4,3,4,5,3,61,1,21,360
4,4,3,2,4,2,2,4,3,3,3,3,2,2,2,1,3,4,4,2,69,1,19,275
3,5,3,3,5,4,1,5,4,5,1,3,1,3,3,1,5,3,3,1,66,1,21,169
4,2,3,3,4,3,3,5,4,4,2,4,4,2,3,3,4,5,2,2,66,1,37,246
3,2,4,2,2,4,2,2,4,4,5,4,2,2,2,0,2,4,1,1,52,1,22,208
4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,59,1,22,361
4,4,3,4,4,4,2,4,4,4,2,4,4,3,4,4,4,4,4,3,67,1,27,268
2,2,4,1,4,0,2,2,2,2,2,4,4,4,3,2,2,2,4,4,68,2,20,401
5,4,3,5,5,0,2,5,4,1,1,5,2,2,5,1,5,0,3,5,79,1,28,166
4,2,4,2,3,2,0,2,3,4,5,2,4,2,3,4,3,4,2,2,59,2,24,220
2,2,4,4,2,1,2,2,5,4,2,2,2,2,2,4,2,4,4,2,52,2,45,254
4,2,5,2,3,5,5,3,5,4,3,2,1,2,2,4,2,2,4,2,46,1,22,221
1,1,2,1,5,2,1,4,3,4,1,4,1,2,5,5,3,3,5,1,66,2,32,2423
3,3,4,4,2,2,2,2,0,4,2,3,2,3,2,3,2,3,4,4,60,2,43,130
4,4,2,2,5,1,1,3,5,2,1,4,3,2,4,1,1,4,5,1,75,1,27,124
2,5,1,1,4,1,2,1,2,4,2,4,2,3,3,2,2,4,5,2,70,1,28,431
3,1,3,2,4,5,2,2,5,4,1,3,4,2,1,3,2,2,5,4,58,2,29,799
5,4,2,2,3,1,2,3,3,2,2,4,3,2,4,3,2,5,4,3,75,1,27,101
5,5,3,1,4,1,1,3,3,1,4,5,4,2,5,1,1,4,5,3,81,1,49,855
5,5,5,1,5,2,1,5,5,5,2,4,4,2,3,2,1,4,5,2,72,2,50,562
4,3,1,2,1,1,1,5,4,4,1,5,5,1,4,2,1,5,5,4,79,1,45,196
3,3,2,1,4,4,1,2,4,2,1,4,2,2,2,4,2,2,5,2,64,1,35,148
4,2,4,4,4,2,2,4,5,4,2,4,4,3,4,4,2,5,4,4,65,1,40,183
4,3,3,4,2,4,3,2,5,4,1,5,2,1,4,2,2,5,5,1,62,1,26,124
2,2,2,4,2,4,2,2,4,4,2,4,2,4,3,4,2,2,4,1,50,1,39,307
4,5,2,1,4,1,1,2,4,2,1,4,2,1,4,1,2,4,3,1,75,2,20,107
1,2,5,2,2,5,5,4,5,5,2,2,1,4,3,5,2,1,1,4,39,1,43,193
3,4,5,3,2,4,2,2,4,4,2,2,2,3,3,3,3,4,4,1,54,1,40,213
2,2,4,4,3,3,3,2,5,3,3,3,2,2,1,1,3,3,2,1,50,2,39,321
1,1,4,2,2,4,5,1,5,5,2,2,1,4,1,5,4,2,4,1,38,2,32,195
1,1,2,4,2,5,5,1,5,5,4,2,1,3,4,4,3,2,4,1,39,2,36,233
2,3,2,3,4,2,2,3,2,2,1,3,2,3,4,3,3,3,4,2,67,2,34,270
2,3,2,3,4,2,2,4,4,2,1,4,2,1,2,2,3,4,5,1,69,1,25,388
5,4,1,1,4,3,2,4,1,1,1,5,4,2,2,1,1,3,5,4,82,1,32,120
1,1,4,4,2,3,2,3,4,4,3,2,2,3,3,2,2,3,4,1,49,2,27,178
2,3,4,3,2,2,3,4,2,2,2,4,2,3,2,4,2,4,5,2,61,2,33,335
4,5,2,2,2,2,1,5,3,1,1,5,5,1,5,1,5,5,5,4,90,1,39,102
1,1,4,3,2,5,5,1,5,5,3,2,1,2,2,5,3,2,3,1,36,2,34,438
4,3,4,5,3,3,3,3,3,2,2,4,2,2,4,1,1,4,4,2,63,1,21,175
1,2,5,4,2,4,2,2,5,5,4,1,2,4,2,3,4,4,2,1,41,2,30,142
4,3,2,1,5,1,2,4,3,2,1,1,3,2,4,2,2,4,5,4,77,2,22,144
4,5,1,2,5,1,1,5,1,1,1,4,4,1,5,1,1,5,4,4,90,1,19,100
4,4,2,2,4,1,1,4,2,2,2,5,4,2,3,2,2,3,5,4,80,1,22,147
3,4,2,3,4,2,2,3,4,2,2,2,2,2,4,2,2,4,5,2,68,2,27,187
4,4,3,2,4,1,2,3,3,2,1,4,3,1,4,1,1,4,5,3,77,1,16,147
2,4,1,3,4,4,1,2,3,4,1,2,3,2,4,2,3,1,5,3,66,1,25,510
2,4,1,3,4,4,1,2,3,4,1,2,4,2,4,2,3,1,5,4,68,1,25,593
2,4,1,3,4,4,1,1,4,4,1,2,4,2,4,2,3,1,5,4,66,1,25,622
4,1,2,1,5,5,5,4,5,5,1,3,2,5,5,2,3,1,4,4,59,2,27,859
4,4,2,1,4,2,3,1,2,2,2,4,1,2,2,2,2,4,5,4,71,1,27,174
5,5,3,4,5,5,4,3,4,5,5,1,2,5,3,5,5,2,1,1,47,1,44,119
2,1,3,2,1,1,1,3,2,1,1,4,4,1,3,1,1,4,5,5,74,1,44,227
3,4,4,3,2,2,2,3,3,2,1,4,4,3,5,4,2,4,5,3,69,2,21,123
3,4,2,4,3,3,2,4,3,2,2,5,2,4,4,4,4,5,4,4,70,2,44,1241
2,1,1,4,2,3,0,4,4,4,3,2,3,1,3,4,4,4,5,2,62,1,51,273
2,4,3,3,5,1,1,4,1,1,1,4,1,1,5,1,3,5,4,2,80,1,25,311
2,3,4,4,5,1,1,4,1,1,1,4,1,1,5,1,3,5,4,2,77,1,25,446
2,3,4,4,5,1,1,4,1,1,1,4,1,1,4,2,4,5,4,1,75,1,25,475
2,2,5,4,2,5,2,2,5,4,1,2,4,4,3,5,4,2,5,2,49,2,29,1457
4,4,2,4,2,4,2,4,4,3,2,3,4,2,2,3,3,3,3,2,62,2,29,242
4,4,2,1,4,1,1,4,2,2,1,5,4,1,3,1,1,4,5,4,84,1,22,104
1,2,3,4,2,4,2,2,5,4,2,4,2,2,4,2,3,4,2,1,53,2,35,181
4,2,2,4,2,2,2,3,4,4,4,2,2,2,3,4,4,4,3,1,56,1,42,270
4,4,4,3,4,4,4,4,4,2,2,4,4,2,4,2,2,4,4,2,67,1,55,181
4,2,3,4,2,4,2,4,4,4,3,2,2,4,4,4,3,2,1,4,52,1,35,184
3,1,4,1,4,4,2,2,4,4,2,2,3,1,1,2,3,2,4,3,58,1,25,230
5,5,1,2,1,1,1,5,4,5,1,1,5,1,3,2,1,1,5,3,71,1,17,345
4,5,3,2,5,5,1,4,5,1,1,5,5,3,3,1,1,5,5,3,77,1,22,145
2,3,4,2,4,4,2,5,4,4,2,4,1,3,4,4,4,4,5,2,63,2,29,426
2,2,4,4,2,4,2,3,5,4,2,2,2,3,2,3,2,2,4,2,48,1,51,266
2,2,4,5,4,4,2,1,5,4,2,2,3,3,4,2,3,4,5,1,54,1,19,181
4,4,2,3,3,2,4,0,4,4,2,2,4,2,3,3,3,4,5,3,63,1,18,203
2,2,2,2,3,3,3,4,5,4,2,3,2,4,3,2,2,0,4,1,53,2,63,104
4,2,3,5,4,2,2,3,4,4,2,2,2,4,4,2,2,4,4,1,58,1,27,235
4,4,1,1,5,1,1,3,2,2,1,4,3,1,2,2,2,4,5,2,80,1,20,200
3,1,3,3,5,1,1,5,3,2,1,2,4,2,1,3,2,2,5,2,67,2,28,194
2,1,1,2,4,4,4,2,4,4,2,2,3,1,1,5,2,2,1,1,48,2,56,207
4,5,4,3,4,5,5,5,3,2,2,4,4,2,4,4,4,4,3,2,67,2,56,117
4,2,2,4,4,2,2,2,4,4,2,3,2,2,4,4,3,3,4,3,62,1,26,257
1,2,4,4,2,3,2,2,5,4,2,2,2,3,2,4,2,2,5,2,47,1,44,251
4,4,2,3,4,1,1,4,4,3,1,4,4,2,3,2,1,3,4,2,72,2,32,118
0,3,2,1,3,2,2,3,3,3,2,3,2,1,3,2,1,3,0,2,59,1,18,95
4,5,3,1,5,3,2,4,2,3,1,3,1,1,4,4,1,4,5,4,74,1,20,107
5,5,1,4,5,1,1,2,1,1,3,4,3,3,5,2,4,5,1,5,81,2,23,148
5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,1,92,1,27,81
5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,1,92,1,27,120
4,4,2,4,5,2,2,4,4,2,2,5,2,2,2,2,2,4,5,4,73,1,33,134
5,4,2,2,5,4,2,5,1,3,1,4,4,2,2,2,4,5,5,4,82,2,31,95
4,2,1,2,4,1,1,2,2,2,1,4,4,2,4,1,1,4,0,3,73,1,32,188
2,2,4,4,2,2,2,2,4,4,2,2,2,2,2,2,4,2,2,2,52,2,45,154
1,2,5,3,1,4,5,1,5,4,3,3,1,3,2,2,3,2,4,2,42,2,62,293
2,2,3,1,5,3,2,2,5,4,1,5,1,1,4,4,1,3,5,1,61,2,19,151
4,3,5,4,4,1,2,3,4,3,2,3,3,2,3,2,1,4,4,3,64,1,39,400
4,2,2,3,2,1,1,4,1,2,1,5,1,1,1,4,1,3,4,2,67,1,21,222
2,3,4,2,4,3,3,4,4,3,1,3,3,2,3,4,4,1,5,2,62,2,37,128
4,0,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,52,1,40,44
4,2,4,4,2,5,4,2,4,4,3,2,1,3,2,3,2,2,4,2,45,1,40,173
3,1,5,4,2,5,4,4,5,3,2,4,1,4,1,5,3,1,3,1,41,2,48,616
4,4,4,1,3,1,1,3,2,1,1,5,4,3,3,2,5,4,5,1,79,1,23,211
4,5,2,4,2,2,2,2,2,2,1,4,4,2,4,2,4,4,5,5,78,1,15,210
4,2,2,3,4,2,1,2,3,1,1,5,2,1,1,2,2,2,5,2,69,1,21,76
1,1,5,3,2,5,5,2,5,5,5,3,1,4,2,4,3,1,1,1,31,1,45,143
4,4,2,3,2,2,2,4,2,2,1,4,1,2,1,2,3,4,4,2,69,1,21,275
3,2,5,3,2,5,5,5,4,5,4,5,1,3,2,3,3,3,3,4,50,1,25,288
1,2,3,4,2,5,2,1,4,5,1,2,2,4,2,3,4,2,5,1,47,1,57,286
5,5,5,1,5,1,1,1,1,1,1,5,5,1,5,1,1,5,5,5,88,1,19,142
2,2,2,5,1,3,2,2,5,2,5,2,1,4,2,2,1,1,4,1,43,1,44,191
5,5,2,3,4,2,1,4,2,2,1,4,5,2,4,5,2,4,5,3,79,2,18,187
2,2,3,3,3,3,1,3,5,5,2,2,3,3,4,3,2,3,5,3,58,2,32,180
2,2,3,2,3,2,1,3,4,4,2,2,3,3,3,2,2,3,5,3,62,2,32,340
1,2,2,3,2,2,1,2,5,3,1,1,2,4,4,4,2,4,5,1,55,2,32,278
2,4,4,4,2,2,2,2,4,4,1,2,2,2,3,2,1,4,4,1,56,1,31,149
1,3,4,4,4,2,2,2,4,4,2,2,3,2,2,2,2,3,4,1,55,2,29,153
5,4,1,1,4,1,1,4,1,1,1,5,3,1,3,1,1,5,5,3,87,1,30,123
5,3,1,3,2,1,1,4,1,3,1,4,5,3,3,1,1,4,5,2,77,1,25,89
2,4,1,2,5,2,2,5,5,2,2,4,2,1,2,1,1,4,4,1,70,1,27,153
5,3,2,3,3,2,4,2,4,2,1,5,5,2,4,3,1,5,5,5,74,2,46,138
2,2,2,5,2,4,5,3,5,5,3,1,1,4,3,4,3,2,5,1,42,1,16,650
2,1,4,1,4,3,3,1,4,4,2,2,2,3,2,4,4,2,5,1,52,1,25,134
2,2,4,3,2,2,1,2,5,5,1,1,1,2,2,2,4,4,1,3,53,1,23,107
2,3,4,3,2,5,4,2,5,3,2,3,1,4,3,4,3,2,4,1,46,1,22,206
4,4,5,4,3,2,3,2,4,5,3,1,3,2,4,4,3,3,4,3,56,1,21,192
4,1,3,1,4,1,2,1,4,4,2,3,2,2,2,2,4,2,4,1,61,1,25,278
